Priority,Resource Usage
0.9398,6
0.9305,6
0.9305,6
0.93566,6
0.93806,6
0.712709,15
0.7724558,15
0.751709,15
0.75458,15
0.74769,15
0.736558,15
0.72509,15
0.71558,15
0.70509,15
0.71258,15
0.72409,15
0.73258,15
0.741709,15
0.7558,15
0.76609,15
0.77458,15
0.78409,15
0.79358,15
0.7729,15
0.78158,15
0.77458,15
0.78409,15
0.79358,15
0.7729,15
0.78158,15
0.45210,4
0.42210,4
0.43210,4
0.44210,4
0.46210,4
0.417410,4
0.47210,4
0.426210,4
0.454210,4
0.421210,4
0.417410,4
0.47210,4
0.426210,4
0.454210,4
0.421210,4
0.08798,2
0.07798,2
0.06798,2
0.05798,2
0.04798,2
0.02798,2
0.03798,2
0.09798,2
0.04798,2
0.08798,2
0.08998,2
0.08798,2
0.06798,2
0.05798,2
0.11798,2
0.10798,2
0.08798,2
0.09798,2
0.08798,2
0.08798,2
